,smiles,id,hlogp,MW,logP,HBD,HBA,TPSA,qed,RotableBonds
116,N1C(C2C=CC=C(C=2)C(F)(F)F)=NOC=1C1=CC=C(O1)CS(=O)(=O)C1C=CC(=C(C)C=1)C,MCULE-6745794265,H32P500,462.4490000000002,5.606140000000004,0.0,6.0,86.19999999999999,0.3834378661999488,5.0
117,C1(=CN(N=N1)CC1(O)CCN(CC1)C(=O)CC1CCCC1)C(=O)N1CCOCC1,MCULE-3381706413,H29P060,405.4990000000003,0.6843000000000008,1.0,7.0,100.79,0.7733598352050371,5.0
118,N1=C(CCC(=O)NCC23CCC=C2N(C(=O)CC3)C)ON=C1C1=CC=CC=C1,MCULE-8318411989,H28P270,380.448,2.7017000000000007,1.0,5.0,88.33,0.8323746977942932,6.0
119,CN1CCN(CCNC(C2=CC(C(F)(F)F)=CC(N(=O)=O)=C2)=O)CC1,MCULE-4903808829,H25P150,360.3360000000001,1.5908,1.0,5.0,78.72,0.6373175293175904,5.0
120,[C@H]1(NC(=O)NC2=CC=CC=C2C2=CC=CC=C2)[C@@H]2CCO[C@@H]2[C@H]1COC,MCULE-1734832660,H26P350,352.43400000000014,3.525000000000002,2.0,3.0,59.59,0.8654500388315521,5.0
121,C1(=CC=CC(C)=C1OC)C(=O)N1CCN(CC1)C1C=CC(=C(NCCC2=CC=CC=C2)C=1)N(=O)=O,MCULE-2174446364,H35P450,474.56100000000015,4.528820000000003,1.0,6.0,87.94999999999999,0.3812929553257682,8.0
122,N1=C(CSC2=NC=CC=N2)N(N=C1C1CCCC1)CC,MCULE-8915231919,H20P300,289.4080000000001,3.0379000000000014,0.0,6.0,56.49,0.6252660308361897,5.0
123,N1(CC(=O)N2CCN(CC2)C2C(=CC=CN=2)C)C(C)=CC(=NC1=O)C,MCULE-7549376670,H25P090,341.41500000000013,0.912359999999999,0.0,6.0,71.33000000000001,0.8298802300967635,3.0
124,S(=O)(=O)(C1=CC=C2C(=C1)N(C)C(C(=O)N2C)=O)N(C)CC(=O)NC1=CC=C(C=C1)C(C)C,MCULE-9089100711,H32P160,458.5400000000002,1.6198000000000004,1.0,7.0,110.48,0.5646093670769863,6.0
125,C1(C(=O)NC(C)C)N=C(N2C[C@H]3CC[C@@H](CC2=1)N3C(=O)C1C=CC(=CN=1)F)C1C=CC=CC=1,MCULE-6436471118,H33P340,447.51400000000007,3.451900000000002,1.0,5.0,80.12,0.664431381967687,4.0
