,protein_name,compound_name,smiles,pocket_name,pocket_com,affinity
149,6dlo,,N1(CC2=C(C=CC=C2Cl)F)C(=O)C(SC1=O)=CC1C=CC(=CC=1)OCC1C=CC(=CC=1)F,protein_center,"-18.041,-13.011,7.779",5.125759
150,6dlo,,Cl.FC1C=NC=CC=1OCC,protein_center,"-18.041,-13.011,7.779",2.1474824
151,6dlo,,OC(CS(CC1=CC=C(Cl)C=C1)(=O)=O)COC1=CC=C(Cl)C=C1,protein_center,"-18.041,-13.011,7.779",3.2898436
152,6dlo,,S(C)(CCC(NCCN1CCCCC1)=O)(=O)=O,protein_center,"-18.041,-13.011,7.779",1.9539908
153,6dlo,,C1(C(NCCCN2C(C)=CC(C)=N2)=O)=CSC(NC2C=C(C)N=C(C3CCCN(CC#N)C3)N=2)=N1,protein_center,"-18.041,-13.011,7.779",4.084675
154,6dlo,,N1(C2C=CC=CC=2F)C(=O)C(=CC2=CC(OCC)=C(C=C2Br)O)C(NC1=S)=O,protein_center,"-18.041,-13.011,7.779",4.524414
155,6dlo,,C(=O)(C1=CC=C(C=C1)OCCC)NC(CC)C1=CC=CC=C1,protein_center,"-18.041,-13.011,7.779",4.075784
156,6dlo,,N1(C2=CC=C(C=C2)OC)C(=O)C2=CC=C(C=C2NC1=S)C(=O)NCC1C=CC=C(Cl)C=1,protein_center,"-18.041,-13.011,7.779",4.691599
157,6dlo,,CCN1CCN(C(C2=C3C(NC=C3)=CC=C2)=O)CC1,protein_center,"-18.041,-13.011,7.779",2.0368145
158,6dlo,,C(=O)(C1CCN(CC1)CC(C)C)N1CCN(CC1)C1C=CC=CC=1,protein_center,"-18.041,-13.011,7.779",3.5375733
159,6dlo,,CC1=C(NC(CN2N=CN=C2)=O)C=CC=C1,protein_center,"-18.041,-13.011,7.779",3.78576
160,6dlo,,N(CC1=CC=CC=C1C)(C(=O)C1=CC=C(C=C1)C)C1(CCN(CC1)C(C)=O)C(=O)NCC1C=CC=CC=1,protein_center,"-18.041,-13.011,7.779",4.9167476
161,6dlo,,C1(C(OCC)=O)=C(CN(C)C)OC2C=C(Br)C(OC)=C(O)C1=2.Cl,protein_center,"-18.041,-13.011,7.779",1.7308828
162,6dlo,,S(=O)(=O)(C1C=CC(=CC=1)F)N1CC2(C1)CN(CC2C1ON=C(C)N=1)C(COC)=O,protein_center,"-18.041,-13.011,7.779",4.2234445
163,6dlo,,N1([C@@]2([H])CCC[C@H]3N[C@H](CC4C=CC=CC=4)[C@@H]1C[C@@]23C)C(=O)C1=C(C)N=C(NC(C)=O)S1,protein_center,"-18.041,-13.011,7.779",4.0383377
164,6dlo,,C(CO)(=O)C1C=CC(=CC=1)OC,protein_center,"-18.041,-13.011,7.779",1.8599288
